--- Terminal on COM5 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
␀␀V
5 seconds
4 seconds
3 seconds
2 seconds
1 seconds
# AEAD Benchmarking
platform = dueUSB
config = O3
build time = Dec 23 2023 - 21:41:13
variant = tinyjambu128v2
impl = opt
timer = micros

ad=104 msg=120 enc=455 dec=453 
ad=104 msg=128 enc=469 dec=468 
ad=112 msg=0 enc=252 dec=252 
ad=112 msg=8 enc=267 dec=267 
ad=112 msg=16 enc=281 dec=282 
ad=112 msg=24 enc=296 dec=295 
ad=112 msg=32 enc=310 dec=309 
ad=112 msg=40 enc=324 dec=325 
ad=112 msg=48 enc=339 dec=338 
ad=112 msg=56 enc=353 dec=353 
ad=112 msg=64 enc=368 dec=368 
ad=112 msg=72 enc=382 dec=382 
ad=112 msg=80 enc=397 dec=396 
ad=112 msg=88 enc=412 dec=410 
ad=112 msg=96 enc=425 dec=425 
ad=112 msg=104 enc=441 dec=439 
ad=112 msg=112 enc=454 dec=453 
ad=112 msg=120 enc=468 dec=468 
ad=112 msg=128 enc=483 dec=483 
ad=120 msg=0 enc=266 dec=266 
ad=120 msg=8 enc=281 dec=282 
ad=120 msg=16 enc=295 dec=296 
ad=120 msg=24 enc=310 dec=310 
ad=120 msg=32 enc=324 dec=324 
ad=120 msg=40 enc=339 dec=339 
ad=120 msg=48 enc=353 dec=353 
ad=120 msg=56 enc=367 dec=367 
ad=120 msg=64 enc=382 dec=381 
ad=120 msg=72 enc=397 dec=396 
ad=120 msg=80 enc=411 dec=411 
ad=120 msg=88 enc=426 dec=424 
ad=120 msg=96 enc=440 dec=440 
ad=120 msg=104 enc=455 dec=453 
ad=120 msg=112 enc=469 dec=467 
ad=120 msg=120 enc=482 dec=484 
ad=120 msg=128 enc=497 dec=497 
ad=128 msg=0 enc=281 dec=280 
ad=128 msg=8 enc=295 dec=295 
ad=128 msg=16 enc=309 dec=309 
ad=128 msg=24 enc=324 dec=324 
ad=128 msg=32 enc=339 dec=338 
ad=128 msg=40 enc=352 dec=353 
ad=128 msg=48 enc=367 dec=367 
ad=128 msg=56 enc=382 dec=382 
ad=128 msg=64 enc=396 dec=395 
ad=128 msg=72 enc=411 dec=410 
ad=128 msg=80 enc=425 dec=425 
ad=128 msg=88 enc=440 dec=438 
ad=128 msg=96 enc=454 dec=454 
ad=128 msg=104 enc=467 dec=468 
ad=128 msg=112 enc=483 dec=482 
ad=128 msg=120 enc=496 dec=498 
ad=128 msg=128 enc=511 dec=511 
# AEAD Benchmarking
platform = dueUSB
config = O3
build time = Dec 23 2023 - 21:41:13
variant = tinyjambu128v2
impl = opt
timer = micros

ad=0 msg=256 enc=514 dec=514 
ad=0 msg=384 enc=745 dec=745 
ad=0 msg=512 enc=975 dec=975 
# AEAD Benchmarking
platform = dueUSB
config = O3
build time = Dec 23 2023 - 21:41:13
variant = tinyjambu128v2
impl = opt
timer = micros

ad=256 msg=0 enc=507 dec=508 
ad=384 msg=0 enc=735 dec=733 
ad=512 msg=0 enc=962 dec=960 
# lwc exit 0
